Sample,Species,Treatment,Diversity,Ag,Al,As,Ca,Cd,Cl,Cu,Fe,K,Mg,Mn,Mo,Nb,Ni,P,Pb,Pd,Rb,S,Sb,Si,Sn,Sr,Th,Ti,U,V,W,Y,Zn,Zr
1,Lespedeza capitata,Control,Monoculture,5.5272,0,0,40813.3125,14.7994,0,0,625.3795,13568.502,0,372.4727,9.5608,4.9008,0,1978.0884,0,3.0515,8.3373,1440.9463,3.4022,22481.1895,7.0772,105.6791,1.5081,108.326,3.0041,0,0,5.1773,19.2683,4.3085
2,Lespedeza capitata,Control,Monoculture,5.0078,0,0,34163.7539,15.5876,0,0,629.1659,11214.333,0,403.0891,9.9943,6.3201,5.7912,1611.8458,0,4.5302,8.5934,1173.084,3.0261,19687.582,4.9492,116.8476,2.0422,86.0299,4.8458,0,0,4.962,24.2443,5.1257
3,Lespedeza capitata,Control,Monoculture,5.2751,0,0,45778.0664,14.3774,0,9.4029,743.7121,14616.8516,0,510.2725,13.1175,5.804,113.2943,1993.5928,0,4.0225,8.1635,1467.5778,5.2678,22277.9375,5.247,111.3616,2.8923,134.3701,3.5095,0,0,5.4661,26.0004,6.1186
4,Lespedeza capitata,Control,Polyculture,4.4501,3418.8562,0,27542.3379,16.7633,0,0,2705.1484,18000.8164,0,337.2281,11.2401,7.3763,154.4725,1388.1561,0,4.2675,11.4298,980.6962,0,46894.6367,6.5833,79.6336,2.3623,408.5431,3.8173,0,0,7.055,20.4397,12.6023
5,Lespedeza capitata,Control,Polyculture,6.1788,2682.5415,0,35969.4609,14.6449,0,0,3066.0149,22907.4844,0,419.7455,11.9295,5.9168,0,1918.6329,0,4.3834,10.6202,1219.0171,5.2402,50371.3828,4.6117,73.8918,2.4621,441.6443,2.6809,0,0,5.4513,21.9862,10.757
6,Lespedeza capitata,Control,Polyculture,4.8865,2906.6738,0,26857.8438,14.0508,0,0,2542.7507,18988.3262,0,356.1967,9.8534,6.1204,0,1524.55,0,4.6276,11.764,1083.6005,8.2876,45553.5039,5.3714,79.6921,2.0238,329.283,2.3665,0,0,5.1364,16.5978,13.6306
7,Lespedeza capitata,Pesticide,Monoculture,5.7451,5199.0063,0,24296.5273,16.1691,0,0,3519.0386,10029.6113,0,514.4457,8.0144,5.832,0,1291.0474,0,4.8625,17.8073,836.9888,5.1133,62597.1094,4.3514,125.9854,2.0239,436.5546,4.4574,0,0,4.6239,20.8694,15.767
8,Lespedeza capitata,Pesticide,Monoculture,5.5075,4837.6733,0,24303.332,15.1421,0,0,3020.271,9722.793,0,463.5249,5.5757,5.6458,0,1288.774,0,4.7058,17.5807,737.22,2.6494,51005.0859,3.9808,123.8327,2.0952,400.1818,4.5439,0,0,4.6099,18.4821,18.615
9,Lespedeza capitata,Pesticide,Monoculture,5.3227,4957.7832,0,28314.8828,16.7626,0,0,3268.2053,11107.0322,0,545.914,7.0322,5.6056,0,1198.9197,0,4.2992,18.2879,754.5687,4.8241,51572.5703,8.1774,126.3904,2.4915,350.8243,4.1345,0,0,4.1171,22.1148,16.0458
10,Lespedeza capitata,Pesticide,Polyculture,5.3553,6472.4971,0,22036.4258,15.2467,0,3.7751,3122.7061,14108.2568,0,310.528,9.4173,5.933,222.0064,1100.5095,0,5.5109,15.4866,732.5267,3.3823,72549.6953,4.8902,102.6051,0,425.2093,3.9988,0,8.3057,4.3843,17.9268,20.3151
11,Lespedeza capitata,Pesticide,Polyculture,5.9986,4479.6772,1.4372,27012.4297,13.9318,0,9.2781,3093.2754,16168.498,0,352.696,11.2497,6.8253,389.8511,1179.7478,0,4.4945,13.1387,816.6834,3.8147,59255.4102,2.9212,93.8431,1.8953,349.3164,3.4953,0,25.142,4.8513,20.2404,19.2073
12,Lespedeza capitata,Pesticide,Polyculture,5.691,5081.8516,0,26497.1523,16.8463,0,8.9054,3315.6257,16508.9707,0,371.3852,11.5216,5.9794,358.7607,1383.204,0,5.4319,15.2049,962.1816,7.3156,57310.1289,8.57,100.7117,1.4616,391.8308,4.1565,0,11.3476,5.501,20.8967,29.3124
13,Lespedeza capitata,Control,Monoculture,5.9959,0,0,33743.8047,16.3921,0,0,633.9091,10784.3105,0,403.3317,10.912,5.3975,9.3271,1640.3333,0,3.7776,9.1547,1165.8647,4.4673,19084.9453,0,117.3367,1.5399,114.3523,4.4985,0,0,5.2773,24.4723,3.7248
14,Andropogon gerardii,Control,Monoculture,5.4088,9285.2881,0,12964.2227,15.2981,387.4978,0,3526.0757,29216.8887,0,123.6616,16.5587,7.8048,31.7465,2474.8762,0,5.2277,13.4486,1121.7396,5.7686,143785.7812,0,39.0817,3.0993,605.4735,1.7138,0,0,5.4597,42.3649,12.6806
15,Andropogon gerardii,Control,Monoculture,6.0821,6800.8638,0,10433.9541,14.7483,241.0063,14.5993,3806.5159,23211.1113,1772.2672,152.6294,12.7524,7.8074,512.0489,1746.554,0,5.2341,14.4649,753.2424,4.6138,77872.3125,5.0942,49.2409,2.2307,373.1135,4.1749,0,25.2033,5.9488,42.3756,18.8933
16,Andropogon gerardii,Control,Monoculture,5.6077,8595.3447,0,12923.3447,17.2079,167.7644,17.4548,4083.0303,27144.7441,1913.3842,212.8294,14.4924,7.7117,421.011,1891.0647,0,4.7286,13.9898,862.0958,7.3949,98351.3906,4.4711,46.1443,2.8343,440.0616,4.5532,0,33.0152,6.1634,44.3162,13.0541
17,Andropogon gerardii,Control,Polyculture,6.16,12539.0713,0,9977.3164,17.3001,2445.9497,15.1313,5105.8687,21679.6836,0,118.1682,16.7454,8.5053,450.571,2125.7419,0,5.2787,22.505,676.6507,5.2283,137546.7969,4.8721,63.1012,1.8473,635.1771,3.5034,0,21.5394,6.4824,43.8508,39.4105
18,Andropogon gerardii,Control,Polyculture,6.8475,13157.6338,1.5028,10076.2715,15.0011,2487.9785,13.4979,5072.8428,22059.6797,0,119.7393,16.055,8.0516,449.4916,2110.7258,0,5.9704,22.1998,690.0007,3.4798,137999.9375,2.8341,63.6295,3.1401,618.6949,4.7461,0,25.6835,6.9549,39.499,39.4934
19,Andropogon gerardii,Control,Polyculture,6.1317,11900.4199,0,10405.625,16.7248,3304.3691,17.2642,5094.1812,28065.3027,0,134.7346,18.4184,9.2157,501.4557,2137.7415,2.5103,6.4177,22.0384,722.2319,5.6508,119779.2344,4.1547,62.9471,2.3961,605.6094,3.752,0,35.1391,6.9098,45.6782,43.4072
20,Andropogon gerardii,Pesticide,Monoculture,5.4163,14319.2939,0,9080.333,14.7682,34.2363,0,4043.3721,18051.5781,0,53.6889,11.1206,5.0712,7.4438,1574.7258,0,4.2299,15.3897,662.1215,5.1098,163008.7031,0,53.8376,1.5594,585.0825,2.6479,7.5156,0,3.8184,23.3051,19.0655
21,Andropogon gerardii,Pesticide,Monoculture,5.0601,9432.2764,0,9845.6875,13.7828,190.065,0,3749.6719,20091.5078,0,43.5878,10.8117,5.1336,97.2446,1672.3865,0,4.1456,13.0085,713.3299,6.2786,110027.3203,3.0129,46.1998,1.1842,556.7155,2.1024,0,0,4.5685,29.0077,15.3306
22,Andropogon gerardii,Pesticide,Monoculture,5.7239,9851.2773,0,14216.1104,15.2124,432.1146,0,4772.8052,21393.2832,0,93.1274,13.4682,6.5226,51.0722,1873.8826,0,2.4251,13.3328,850.7309,3.3026,114490.1484,4.0781,47.248,1.8564,624.3439,3.2197,0,0,5.5939,36.2199,19.7867
23,Andropogon gerardii,Pesticide,Monoculture,5.9323,11269.2607,0,14147.5244,14.3681,567.2995,19.1795,5149.4204,22376.6953,0,119.7951,14.4605,7.425,352.501,1848.2194,0,3.9252,14.2867,764.6401,4.8095,134943.3906,3.2502,49.2235,2.6283,682.9792,3.7617,0,30.1139,5.5421,36.756,16.5582
24,Andropogon gerardii,Pesticide,Polyculture,6.6222,9061.4023,0,15106.9619,16.3932,2327.8352,16.8938,4899.147,22170.1094,0,132.0343,16.6874,7.5585,675.5957,2594.7573,0,5.3607,17.6152,622.5634,6.5725,107491.1953,5.2908,67.4085,2.0407,705.419,3.4868,0,45.9355,6.6583,39.3451,31.9177
25,Andropogon gerardii,Pesticide,Polyculture,5.4823,9784.0537,0,15021.6475,15.3855,2507.6052,15.7344,4985.0791,24738.4805,0,151.0001,16.386,7.8136,410.6741,2645.4189,0,4.6844,19.504,570.4229,3.529,109085.2188,0,72.7639,3.1011,641.2095,3.9213,0,28.2057,6.469,38.5862,21.6637
26,Andropogon gerardii,Pesticide,Polyculture,6.2427,6961.5786,0,12833.3184,14.9173,2098.8582,6.6291,4097.3706,21007.6738,0,90.2181,14.329,7.3159,228.4432,2201.0693,0,4.3341,17.6476,540.3854,4.6756,75846.7656,0,68.5438,2.3489,567.0143,3.046,10.6117,17.5626,5.313,32.7466,23.7187
27,Andropogon gerardii,Pesticide,Polyculture,5.6381,8976.5938,0,15065.0205,17.0616,2451.5332,12.6874,4297.3003,22736.4102,0,108.6024,14.9298,8.0497,526.3073,2490.4048,0,5.5715,18.2179,600.2464,7.7613,95440.3594,4.6018,70.248,2.0629,587.0577,3.9683,0,33.0676,5.5796,34.6451,28.9871
28,Andropogon gerardii,Control,Monoculture,6.6999,7195.2651,0,12164.6475,14.0906,205.9206,5.1117,2960.4465,27805.4863,0,154.529,13.4067,6.5863,202.9486,2272.4084,0,3.4323,11.3339,923.3488,8.7756,92355.6719,5.2293,35.395,2.1316,369.8727,3.3119,0,10.7987,4.7749,36.3942,12.266
29,Lespedeza capitata,Pesticide,Polyculture,5.9193,5766.6963,0,27146.2461,15.8979,0,0,3346.9807,16330.6133,0,383.6611,11.0647,6.4588,62.6276,1233.4055,0,5.8084,15.8884,829.8956,5.8845,67508.5547,4.8876,104.8079,2.8776,354.3415,3.5598,0,0,5.6926,17.3076,22.4399
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVERAGE,,,,5.721258621,6721.823445,0.10137931,20990.9504,15.47834483,684.4839172,6.3981,3423.28659,19165.69083,127.0914276,260.4426483,12.45191034,6.713403448,214.9891759,1806.578769,0.086562069,4.646189655,14.84276552,871.5379931,5.02157931,81592.20548,4.086472414,79.22867586,2.142658621,445.8148862,3.619937931,0.62507931,12.10551034,5.466972414,29.51508276,19.11045862
